id,date,temp,rel_hum,par,flag
site_1,2018-02-01,-3.1,94.2,275,
site_1,2018-02-02,-0.7,78.5,351,
site_1,2018-02-03,-9.93,97.4,299,
site_1,2018-02-04,-1.72,98.1,443,
site_1,2018-02-05, ,77.6,468,
site_2,2018-02-01,-9.51,73.2,345,
site_2,2018-02-02,2.5,82.2,440,D
site_2,2018-02-03,-1.85,72.9,450,
site_2,2018-02-04,0.02,82.5, ,
site_2,2018-02-05,2.06,76.5,457,
site_3,2018-02-01,-6.82,96.1,213,
site_3,2018-02-02,-6.35,88.4, ,
site_3,2018-02-03,-0.43,90.7,395,
site_3,2018-02-04,-6.63,73.2,243,
site_3,2018-02-05,-4.09,89.6,310,
