Date,Control,Category,OUT,EXPORTS,HSB,ProjectExports,ATE,AUO,FW,OMR,ESA,Both,AF,DS,DSVOL,OMRDIF,HORB,Vernalis,SystemCapacity,SWP,CVP,SWPbelowCap,CVPbelowCap,UnimpairedDeltaIn,UnimpairedDeltaOut,TOT
10/1/2010,Outflow,F&W,5362,10316,4800,10189,562,0,562,-9080,,,,,,,out,1630,10980,5993,4196,687,104,7864.289997,5340.031932,17780
10/2/2010,Outflow,F&W,5033,10313,4800,10198,233,0,233,-8940,,,,,,,out,1610,10980,5989,4209,691,91,7733.206663,5248.948599,17408
10/3/2010,Outflow,F&W,4230,10301,4230,10183,0,0,0,-9280,,,,,,,out,1720,10980,5989,4194,691,106,8025.62333,5566.365266,16568
10/4/2010,Outflow,F&W,4724,9833,4724,9720,0,0,0,-8590,,,,,,,out,1780,10980,5622,4098,1058,202,9210.414997,6798.156932,16546
10/5/2010,Outflow,F&W,4093,10301,4093,10191,0,0,0,-8480,,,,,,,out,1800,10980,5998,4193,682,107,9749.87333,7355.615266,16366
10/6/2010,Outflow,F&W,4095,10282,4095,10172,0,0,0,-8660,,,,,,,out,1810,10980,5989,4183,691,117,8953.289997,6546.031932,16362
10/7/2010,Outflow,F&W,3947,10258,3947,10160,0,0,0,-8830,,,,,,,out,1820,10980,5996,4164,684,136,8635.664997,6268.406932,16150
10/8/2010,Outflow,F&W,3504,10279,3504,10171,0,0,0,-9070,,,,,,,out,2010,10980,5990,4181,690,119,9538.12333,7247.865266,15651
10/9/2010,Outflow,F&W,2784,10239,2784,10142,0,0,0,-9230,,,,,,,out,2260,10980,5999,4143,681,157,9633.914997,7286.656932,14948
10/10/2010,Outflow,F&W,2295,10291,2295,10205,0,0,0,-9420,,,,,,,out,2340,10980,5994,4211,686,89,9109.581663,6807.323599,14466
10/11/2010,Outflow,F&W,2351,10246,2351,10143,0,0,0,-8860,,,,,,,out,2450,10980,5992,4151,688,149,9265.87333,6971.615266,14469
10/12/2010,Outflow,F&W,4472,7790,4472,7664,0,0,0,-7760,,,,,,,out,2420,10980,3496,4168,3184,132,8988.581663,6666.323599,14162
10/13/2010,Outflow,F&W,2981,9329,2981,9198,0,0,0,-7630,,,,,,,out,2320,10980,4992,4206,1688,94,9598.62333,7299.365266,14187
10/14/2010,Outflow,F&W,3653,9305,3653,9178,0,0,0,-7330,,,,,,,out,2270,10980,4994,4184,1686,116,8766.74833,6519.490266,14783
10/15/2010,Outflow,F&W,4554,8278,4554,8181,0,0,0,-7170,,,,,,,out,2120,10980,3990,4191,2690,109,9049.081663,6795.823599,14663
10/16/2010,Outflow,F&W,3905,8823,3905,8668,0,0,0,-6970,,,,,,,out,1980,10980,4496,4172,2184,128,9981.789997,7717.531932,14570
10/17/2010,Outflow,F&W,3663,9022,3663,8874,0,0,0,-6820,,,,,,,out,2000,10980,4729,4145,1951,155,8847.414997,6595.156932,14515
10/18/2010,Outflow,F&W,5069,9024,4800,8879,269,0,269,-7370,,,,,,,out,2180,10980,4716,4163,1964,137,9366.706663,8537.448599,14499
10/19/2010,Outflow,F&W,4449,9311,4449,9159,0,0,0,-7150,,,,,,,out,2330,10980,4995,4164,1685,136,10334.70666,9501.448599,14171
10/20/2010,Outflow,F&W,3967,9297,3967,9175,0,0,0,-6130,,,,,,,out,2450,10980,4992,4183,1688,117,9896.081663,9065.823599,13672
10/21/2010,Outflow,F&W,4261,8817,4261,8636,0,0,0,-6820,,,,,,,out,2530,10980,4496,4140,2184,160,8761.706663,7936.448599,13480
10/22/2010,Outflow,F&W,3921,8771,3921,8656,0,0,0,-7090,,,,,,,out,2580,10980,4494,4162,2186,138,9038.99833,8201.740266,13107
10/23/2010,Outflow,F&W,4166,7293,4166,7159,0,0,0,-6210,,,,,,,out,2810,10980,2996,4163,3684,137,9764.99833,7602.740266,13199
10/24/2010,Outflow,F&W,5963,7242,4800,7121,1163,0,1163,-6260,,,,,,,out,3070,10980,2997,4124,3683,176,34554.87333,33538.61527,13799
10/25/2010,EC,HSB,12015,8304,12015,8145,0,0,0,-5800,,,,,,,out,3230,10980,3990,4155,2690,145,71434.665,74085.40693,17246
10/26/2010,EC,HSB,13590,8803,13590,8645,0,0,0,-5780,,,,,,,out,3170,10980,4498,4147,2182,153,46790.99833,49440.74027,19321
10/27/2010,EC,HSB,15248,9338,15248,9141,0,0,0,-6980,,,,,,,out,3150,10980,4990,4151,1690,149,52704.87333,55356.61527,21512
10/28/2010,EC,HSB,12329,10348,12329,10161,0,0,0,-7960,,,,,,,out,3230,10980,5997,4164,683,136,28842.665,31493.40693,19604
10/29/2010,EC,HSB,8958,10285,8958,10132,0,0,0,-7710,,,,,,,out,3140,10980,5986,4146,694,154,21149.08166,22704.8236,17265
10/30/2010,EC,HSB,4487,10295,4487,10143,0,0,0,-7020,,,,,,,out,3020,10980,5990,4153,690,147,16999.79,14885.53193,16474
10/31/2010,EC,HSB,5602,9402,5602,9250,0,0,0,-6607.14812,,,,,,,out,2870,10980,5092,4158,1588,142,18063.58166,15949.3236,16696
11/1/2010,outflow,F&W,5482,9180,4800,9028,682,0,682,-6727.59523,,,,,,,out,2730,10980,4873,4155,1807,145,23948.71165,20936.91165,16356
11/2/2010,outflow,F&W,4868,9286,4800,9138,68,0,68,-6967.79267,,,,,,,out,2580,10980,4992,4146,1688,154,18609.58665,15596.78665,15849
11/3/2010,outflow,F&W,4101,9302,4101,9162,0,0,0,-5687.65483,,,,,,,out,2460,10980,4986,4176,1694,124,17152.54498,14138.74498,15099
11/4/2010,outflow,F&W,3665,9307,3665,9148,0,0,0,3108.04032,,,,,,,out,2260,10980,4989,4159,1691,141,14641.79498,11626.99498,14669
11/5/2010,outflow,F&W,2735,9319,2735,9159,0,0,0,562.0235008,,,,,,,out,2070,10980,4993,4166,1687,134,13406.58665,10392.78665,13750
11/6/2010,outflow,F&W,3923,7834,3923,7662,0,0,0,-6244.41323,,,,,,,out,1990,10980,3493,4169,3187,131,14001.50331,10988.70331,13452
11/7/2010,outflow,F&W,3520,8956,3520,8774,0,0,0,-6820,,,,,,,out,1980,10980,4497,4277,2183,23,14490.54498,11472.74498,14176
11/8/2010,outflow,F&W,7055,9316,4800,9171,1809,446,1809,-6710,,,,,,,out,2010,10980,5000,4171,1680,129,21584.16998,22062.36998,14574
11/9/2010,outflow,F&W,6623,9813,4800,9665,1315,508,1315,-6310,,,,,,,out,1970,10980,5494,4171,1186,129,28435.79498,28858.99498,14694
11/10/2010,outflow,F&W,6947,9794,4800,9654,1326,821,1326,-5410,,,,,,,out,1890,10980,5491,4163,1189,137,21241.33665,21714.53665,14949
11/11/2010,outflow,F&W,7280,9727,4800,9619,1361,1119,1361,-5810,,,,,,,out,1820,10980,5490,4129,1190,171,19764.12831,20236.32831,15217
11/12/2010,outflow,F&W,6709,9800,4800,9671,1309,600,1309,-6290,,,,,,,out,1750,10980,5490,4181,1190,119,18055.00331,18528.20331,14717
11/13/2010,outflow,F&W,3203,9315,3203,9166,0,0,0,-6680,,,,,,,out,1700,10980,4988,4178,1692,122,17576.04498,14608.24498,14168
11/14/2010,outflow,F&W,3975,8322,3975,8167,0,0,0,-6590,,,,,,,out,1680,10980,3990,4177,2690,123,15292.16998,12328.36998,13943
11/15/2010,outflow,F&W,3511,8415,3511,8224,0,0,0,-6470,,,,,,,out,1680,10980,4264,3960,2416,340,17152.54498,14137.74498,13623
11/16/2010,outflow,F&W,3055,8353,3055,8172,0,0,0,-6780,,,,,,,out,1660,10980,3963,4209,2717,91,16890.37831,13875.57831,13105
11/17/2010,E/I,F&W,2711,8531,2711,8401,0,0,0,-7050,,,,,,,out,1640,10980,4244,4157,2436,143,16366.04498,13351.24498,12939
11/18/2010,E/I,F&W,2643,8271,2643,8147,0,0,0,-7210,,,,,,,out,1620,10980,3994,4153,2686,147,15261.91998,12247.11998,12611
11/19/2010,E/I,F&W,2655,8341,2655,8178,0,0,0,-6950,,,,,,,out,1590,10980,3990,4188,2690,112,15367.79498,12352.99498,12693
11/20/2010,E/I,F&W,4993,8729,4800,8581,193,0,193,-7200,,,,,,,out,1650,10980,4494,4087,2186,213,17868.46165,16405.66165,13867
11/21/2010,E/I,F&W,11743,8747,4800,8613,2367,4576,2367,-6900,,,,,,,out,1780,10980,4489,4124,2191,176,21821.12831,25171.32831,15822
11/22/2010,E/I,F&W,12866,9272,4800,9103,1877,6189,1877,-6250,,,,,,,out,1780,10980,4993,4110,1687,190,25491.46165,29077.66165,17234
11/23/2010,EC,HSB,12820,9794,12820,9645,0,0,0,-7230,,,,,,,out,1760,10980,5495,4150,1185,150,26474.58665,30057.78665,17713
11/24/2010,EC,HSB,16341,9760,16341,9640,0,0,0,-6510,,,,,,,out,1790,10980,5491,4149,1189,151,28324.87831,33283.07831,19825
11/25/2010,EC,HSB,14548,9773,14548,9611,0,0,0,-6680,,,,,,,out,1840,10980,5456,4155,1224,145,25400.71165,28700.91165,19702
11/26/2010,EC,HSB,9417,9794,9417,9667,0,0,0,-7410,,,,,,,out,1830,10980,5497,4170,1183,130,19668.33665,18155.53665,19406
11/27/2010,EC,HSB,7990,10276,7990,10161,0,0,0,-8320,,,,,,,out,1840,10980,5991,4170,689,130,19643.12831,17850.32831,18741
11/28/2010,EC,HSB,10735,10293,10735,10166,0,0,0,-6810,,,,,,,out,1850,10980,5998,4168,682,132,20565.75331,21015.95331,19260
11/29/2010,EC,HSB,11949,9761,11949,9630,0,0,0,-6490,,,,,,,out,1900,10980,5483,4147,1197,153,22103.46165,21177.66165,21318
11/30/2010,EC,HSB,12563,10092,12563,9968,0,0,0,-7241.034418,,,,,,,out,1950,10980,5815,4153,865,147,19759.08665,18783.28665,22313
12/1/2010,None-B,Maintenance,11830,9526,4800,9422,0,7030,0,-7247.225682,,,,,,,out,1960,10980,5285,4137,1395,163,38345.10176,36847.44047,21059
12/2/2010,None-W,Infrastructure,8745,10642,4800,10541,0,3945,0,-7420.798864,,,,,,,out,2270,10980,6384,4157,296,143,35436.06009,33939.3988,19089
12/3/2010,None-W,Infrastructure,8055,10652,4800,10519,0,3255,0,-7886.010236,,,,,,,out,3700,10980,6375,4144,305,156,37200.64342,33408.98213,20704
12/4/2010,None-W,Infrastructure,11091,10657,4800,10545,0,6291,0,-7749.442504,,,,,,,out,4580,10980,6386,4159,294,141,42015.43509,38170.7738,23798
12/5/2010,None-W,Infrastructure,14294,10604,4800,10544,0,9494,0,-5550,,,,,,,out,5030,10980,6392,4152,288,148,45151.35176,42631.69047,25623
12/6/2010,None-W,Infrastructure,17361,10599,4800,10543,0,12561,0,-6010,,,,,,,out,5240,10980,6389,4154,291,146,52486.97676,52267.31547,26386
12/7/2010,None-W,Infrastructure,20232,10614,4800,10562,0,15432,0,-6580,,,,,,,out,5290,10980,6394,4168,286,132,71947.81009,72131.1488,28868
12/8/2010,None-W,Infrastructure,25598,10610,4800,10563,0,20798,0,-7340,,,,,,,out,5060,10980,6394,4169,286,131,77286.93509,77472.2738,34228
12/9/2010,None-W,Infrastructure,29453,10625,4800,10577,0,24653,0,-7340,,,,,,,out,4700,10980,6392,4185,288,115,66437.26842,68454.60713,36266
12/10/2010,None-W,Infrastructure,28804,10591,4800,10545,0,24004,0,-7260,,,,,,,out,4800,10980,6392,4153,288,147,77105.43509,77697.7738,37008
12/11/2010,None-B,Maintenance,25862,10439,4800,10402,0,21062,0,-6770,,,,,,,out,4820,10980,6216,4186,464,114,83513.39342,81812.73213,36207
12/12/2010,None-B,Maintenance,23995,10206,4800,10158,0,19195,0,-7050,,,,,,,out,4510,10980,5969,4189,711,111,78900.26842,76741.60713,34565
12/13/2010,None-B,Maintenance,22129,10277,4800,10225,0,17329,0,-7860,,,,,,,out,4200,10980,6042,4183,638,117,70248.76842,68092.10713,32768
12/14/2010,None-B,Maintenance,26640,10232,4800,10173,0,21840,0,-8100,,,,,,,out,4040,10980,6032,4141,648,159,68958.10176,64963.44047,39072
12/15/2010,None-B,Maintenance,32095,10595,4800,10546,0,27295,0,-7850,,,,,,,out,4130,12356.66667,6393,4153,1663.666667,147,81542.10176,79383.44047,43055
12/16/2010,None-B,Maintenance,43985,10591,4800,10565,0,39185,0,-8290,,,,,,,out,4620,12520,6392,4173,1828,127,85393.93509,83235.2738,54940
12/17/2010,None-B,Maintenance,52783,10551,4800,10543,0,47983,0,-8650,,,,,,,out,5410,12783.33333,6392,4151,2091.333333,149,75960.97676,73802.31547,63699
12/18/2010,None-B,Maintenance,59346,10525,4800,10512,0,54546,0,-8560,,,,,,,out,6170,13036.66667,6391,4121,2345.666667,179,102636.4351,102817.7738,67895
12/19/2010,None-B,Maintenance,73493,10512,4800,10509,0,68693,0,-7590,,,,,,,out,7250,13396.66667,6392,4117,2704.666667,183,176567.4351,177896.7738,80881
12/20/2010,None-B,Maintenance,84934,10599,4800,10588,0,80134,0,-6170,,,,,,,out,8520,13820,6397,4191,3123,109,202436.2268,205600.5655,90574
12/21/2010,None-B,Maintenance,89296,10459,4800,10441,0,84496,0,-5810,,,,,,,out,9510,14150,6390,4051,3460,249,155886.5184,159097.8571,94748
12/22/2010,None-B,Maintenance,89710,10248,4800,10233,0,84910,0,-5590,,,,,,,out,10400,14446.66667,6391,3842,3755.666667,458,130295.0184,133737.3571,94721
12/23/2010,None-B,Maintenance,84173,11367,4800,11356,0,79373,0,-4970,,,,,,,out,10600,14513.33333,7522,3834,2691.333333,466,114333.1018,116908.4405,91169
12/24/2010,None-B,Maintenance,79722,11361,4800,11350,0,74922,0,-5930,,,,,,,out,10600,14513.33333,7528,3822,2685.333333,478,109851.0601,111278.3988,87861
12/25/2010,None-B,Maintenance,73589,12481,4800,12477,0,68789,0,-7260,,,,,,,out,10300,14413.33333,8657,3820,1456.333333,480,96389.81009,94200.1488,86465
12/26/2010,None-B,Maintenance,77610,12478,4800,12477,0,72810,0,-6210,,,,,,,out,10300,14413.33333,8657,3820,1456.333333,480,101749.1018,103226.4405,86816
12/27/2010,None-B,Maintenance,73807,12840,4800,12833,0,69007,0,-6210,,,,,,,out,10600,14513.33333,8652,4181,1561.333333,119,97569.56009,98873.8988,83548
12/28/2010,None-B,Maintenance,70849,12879,4800,12862,0,66049,0,-8220,,,,,,,out,10900,14600,8659,4203,1641,97,99147.60176,99301.94047,81779
12/29/2010,None-B,Maintenance,76056,12790,4800,12780,0,71256,0,-7400,,,,,,,out,10900,14600,8657,4123,1643,177,117953.0184,119989.3571,85015
